ai_model_name,query_category,ai_confidence_percentage,response_character_count,has_cited_sources,contains_hedging_words,includes_disclaimer,answer_detail_level,respondent_age_bracket,education_level,digital_literacy_score,ai_familiarity_level,decision_importance,urgency_level,belief_alignment_status,subject_matter_expertise,trust_score_out_of_10,performed_fact_check,fact_check_method_used,verification_duration_mins,answer_accuracy_percentage,trust_calibration_valid,user_skepticism_category
Mistral,scientific_facts,87.5,214,FALSE,TRUE,TRUE,Moderate,35-44,Masters,Low,Expert,Medium,None,,FALSE,9,FALSE,,0,82.12,TRUE,Blind Trust
Mistral,current_events,75.36,495,TRUE,FALSE,FALSE,Vague,35-44,High School,High,Intermediate,Critical,High,FALSE,TRUE,6.6,TRUE,Academic Paper,28.5,52.54,TRUE,Skeptical
Llama,current_events,75.51,772,TRUE,FALSE,FALSE,Specific,45-54,Professional,High,Beginner,High,Medium,,TRUE,8.7,FALSE,,0,53.06,FALSE,Blind Trust
Claude,technical_coding,88.09,463,FALSE,FALSE,FALSE,Vague,35-44,Masters,Expert,First Time,Critical,High,,FALSE,8.4,TRUE,Google Search,20.6,77.59,TRUE,Moderate Trust
ChatGPT-3.5,general_knowledge,72.31,71,FALSE,FALSE,TRUE,Specific,65+,PhD,Low,Beginner,High,Medium,,FALSE,7.6,TRUE,Google Search,2.2,78.68,TRUE,Skeptical
Mistral,math_calculation,95.28,549,FALSE,FALSE,TRUE,Moderate,45-54,High School,Medium,Beginner,Medium,Low,FALSE,FALSE,10,FALSE,,0,97.67,TRUE,Blind Trust
Mistral,legal_advice,67.43,299,TRUE,FALSE,FALSE,Moderate,35-44,High School,Expert,Intermediate,Low,High,,FALSE,8.4,FALSE,,0,56.49,FALSE,Blind Trust
Llama,financial_advice,41.7,639,FALSE,FALSE,TRUE,Very Specific,18-24,PhD,Expert,Beginner,Critical,None,,FALSE,4.3,TRUE,Asked Colleague,27.1,49.97,TRUE,Highly Skeptical
Claude,financial_advice,59.39,439,TRUE,TRUE,TRUE,Moderate,55-64,Professional,Low,Expert,Critical,None,TRUE,FALSE,8.3,TRUE,Personal Testing,22.5,61.71,FALSE,Moderate Trust
Gemini,scientific_facts,72.1,572,FALSE,TRUE,TRUE,Specific,45-54,PhD,Medium,Advanced,Low,None,FALSE,FALSE,6.5,FALSE,,0,71.18,TRUE,Moderate Trust
Gemini,general_knowledge,80.69,227,TRUE,FALSE,TRUE,Very Specific,55-64,Masters,Low,Intermediate,Critical,High,TRUE,FALSE,10,FALSE,,0,75.48,FALSE,Blind Trust
Mistral,math_calculation,98.39,721,FALSE,TRUE,TRUE,Very Specific,65+,Masters,Medium,Expert,Critical,Low,TRUE,FALSE,10,FALSE,,0,100,TRUE,Blind Trust
Mistral,scientific_facts,70.92,184,FALSE,FALSE,TRUE,Vague,55-64,Bachelors,High,Expert,High,None,,FALSE,6.6,TRUE,Academic Paper,11.4,63.06,TRUE,Skeptical
Llama,recipe_cooking,85.83,478,TRUE,TRUE,FALSE,Vague,55-64,PhD,Medium,Beginner,Critical,Low,FALSE,TRUE,8.4,TRUE,Checked Official Source,17,76.23,TRUE,Moderate Trust
ChatGPT-3.5,scientific_facts,87.88,660,TRUE,TRUE,FALSE,Very Specific,45-54,Bachelors,Medium,Advanced,Low,Medium,TRUE,TRUE,10,FALSE,,0,82.38,TRUE,Blind Trust
ChatGPT-3.5,factual_historical,75.75,338,FALSE,FALSE,FALSE,Specific,35-44,Bachelors,Medium,Intermediate,Critical,None,TRUE,FALSE,9.3,TRUE,Asked Expert,24.4,66.71,FALSE,Moderate Trust
Llama,general_knowledge,73.57,400,FALSE,TRUE,FALSE,Moderate,65+,High School,Expert,First Time,Low,High,TRUE,FALSE,9.9,FALSE,,0,87.26,TRUE,Blind Trust
Claude,technical_coding,92.66,621,TRUE,TRUE,TRUE,Very Specific,65+,High School,Low,Beginner,Medium,None,FALSE,FALSE,9.7,FALSE,,0,85.98,TRUE,Blind Trust
Llama,math_calculation,87.81,401,TRUE,FALSE,FALSE,Specific,25-34,Professional,Medium,First Time,Low,None,TRUE,TRUE,10,FALSE,,0,88.09,TRUE,Blind Trust
Claude,recipe_cooking,86.76,707,TRUE,FALSE,TRUE,Very Specific,45-54,Masters,Medium,Beginner,Medium,Medium,FALSE,FALSE,10,FALSE,,0,74.48,FALSE,Blind Trust
GPT-4,recipe_cooking,85.95,750,FALSE,FALSE,FALSE,Very Specific,35-44,Professional,Low,Advanced,High,High,TRUE,TRUE,9.6,FALSE,,0,81.68,TRUE,Blind Trust
Gemini,legal_advice,61.69,411,TRUE,TRUE,TRUE,Vague,18-24,Professional,Low,Intermediate,Medium,None,FALSE,TRUE,6.7,TRUE,Checked Official Source,24.1,48.87,TRUE,Skeptical
Claude,legal_advice,69.98,298,TRUE,FALSE,TRUE,Moderate,55-64,Masters,Expert,First Time,High,Low,FALSE,TRUE,6.7,TRUE,Academic Paper,37.9,64.99,TRUE,Skeptical
GPT-4,financial_advice,46.04,513,FALSE,FALSE,TRUE,Moderate,45-54,Bachelors,Expert,Advanced,Low,High,,TRUE,5.1,FALSE,,0,50.97,TRUE,Skeptical
Claude,recipe_cooking,83.28,157,FALSE,TRUE,TRUE,Specific,18-24,Bachelors,Low,Expert,High,Low,,TRUE,7.6,TRUE,Asked Colleague,40.5,71.92,TRUE,Skeptical
ChatGPT-3.5,medical_advice,56.84,127,FALSE,FALSE,TRUE,Specific,18-24,Bachelors,Low,Advanced,Medium,Medium,TRUE,FALSE,8.3,TRUE,Cross-referenced Multiple AIs,34,43.79,FALSE,Moderate Trust
Gemini,opinion_based,48.63,417,TRUE,FALSE,TRUE,Specific,35-44,High School,Low,Beginner,Low,Low,FALSE,FALSE,7.2,FALSE,,0,29.53,FALSE,Moderate Trust
Gemini,recipe_cooking,89.42,279,FALSE,FALSE,TRUE,Very Specific,55-64,Masters,High,Intermediate,Medium,Medium,FALSE,TRUE,8.4,FALSE,,0,84.86,TRUE,Blind Trust
Claude,medical_advice,74.66,579,FALSE,FALSE,TRUE,Moderate,25-34,PhD,Medium,Beginner,Low,None,,FALSE,9.1,TRUE,Academic Paper,29.1,83.64,TRUE,Moderate Trust
Llama,legal_advice,45.19,586,TRUE,TRUE,TRUE,Vague,35-44,Masters,Low,Expert,Medium,None,TRUE,FALSE,7.6,TRUE,Google Search,44.1,41.67,FALSE,Skeptical
Llama,medical_advice,74.73,325,FALSE,FALSE,TRUE,Specific,25-34,PhD,Expert,Expert,Critical,Low,FALSE,FALSE,5.2,TRUE,Consulted Documentation,10.2,77.76,FALSE,Skeptical
Llama,legal_advice,47.95,442,TRUE,TRUE,TRUE,Moderate,55-64,High School,High,First Time,Medium,Medium,,FALSE,5.6,TRUE,Consulted Documentation,3.3,57.92,TRUE,Skeptical
Mistral,scientific_facts,77.57,761,FALSE,TRUE,TRUE,Very Specific,25-34,Professional,Expert,Intermediate,Medium,Medium,,TRUE,7.1,FALSE,,0,66.85,TRUE,Moderate Trust
Claude,financial_advice,62.73,716,FALSE,FALSE,TRUE,Vague,35-44,Bachelors,Expert,Intermediate,High,Medium,FALSE,FALSE,5.2,TRUE,Asked Colleague,23.7,76.41,FALSE,Skeptical
GPT-4,factual_historical,74.74,470,FALSE,TRUE,FALSE,Moderate,55-64,Bachelors,Medium,Advanced,High,High,TRUE,TRUE,8.2,FALSE,,0,70.49,TRUE,Blind Trust
GPT-4,general_knowledge,79.43,543,FALSE,FALSE,TRUE,Moderate,35-44,PhD,Medium,Intermediate,Low,Low,TRUE,FALSE,10,TRUE,Cross-referenced Multiple AIs,29.1,90.1,TRUE,Moderate Trust
GPT-4,math_calculation,96.38,670,FALSE,FALSE,FALSE,Vague,25-34,Masters,High,Beginner,High,Medium,FALSE,TRUE,8.8,TRUE,Consulted Documentation,41,100,TRUE,Moderate Trust
GPT-4,factual_historical,74.7,194,TRUE,FALSE,TRUE,Specific,18-24,PhD,High,First Time,Critical,None,,FALSE,8,TRUE,Cross-referenced Multiple AIs,13.5,74.76,TRUE,Moderate Trust
Llama,factual_historical,80.4,313,TRUE,TRUE,TRUE,Very Specific,25-34,Professional,Low,Intermediate,High,High,,FALSE,8.8,TRUE,Asked Expert,19.5,65.8,FALSE,Moderate Trust
Claude,scientific_facts,75.05,173,TRUE,FALSE,TRUE,Moderate,55-64,Bachelors,High,Beginner,Low,Medium,,FALSE,9.6,FALSE,,0,88.77,TRUE,Blind Trust
ChatGPT-3.5,medical_advice,67.83,423,FALSE,TRUE,TRUE,Moderate,18-24,Masters,High,Intermediate,Critical,Medium,FALSE,TRUE,4.4,TRUE,Consulted Documentation,25.8,72.56,FALSE,Highly Skeptical
Mistral,legal_advice,54.51,784,TRUE,FALSE,TRUE,Specific,18-24,High School,Low,Intermediate,Low,None,TRUE,TRUE,9.5,TRUE,Personal Testing,10.2,46.58,FALSE,Moderate Trust
Mistral,legal_advice,54.19,176,FALSE,TRUE,FALSE,Very Specific,65+,Professional,Low,First Time,Low,Low,FALSE,FALSE,6.1,TRUE,Google Search,29.4,58.57,TRUE,Skeptical
Mistral,financial_advice,40.52,65,TRUE,FALSE,FALSE,Vague,55-64,PhD,High,First Time,Low,Medium,TRUE,TRUE,8.9,TRUE,Academic Paper,31.2,34.38,FALSE,Moderate Trust
Claude,math_calculation,91.75,200,TRUE,TRUE,FALSE,Very Specific,35-44,PhD,Expert,Beginner,Critical,High,TRUE,TRUE,10,TRUE,Personal Testing,34.9,100,TRUE,Moderate Trust
Mistral,general_knowledge,81.03,641,TRUE,TRUE,FALSE,Moderate,35-44,High School,High,First Time,Critical,Medium,FALSE,FALSE,7.5,TRUE,Checked Official Source,30.5,72.08,TRUE,Skeptical
ChatGPT-3.5,technical_coding,84.95,304,TRUE,FALSE,TRUE,Vague,65+,High School,High,First Time,Medium,High,,FALSE,10,FALSE,,0,88.9,TRUE,Blind Trust
Mistral,scientific_facts,86.72,501,FALSE,FALSE,TRUE,Vague,35-44,Masters,Low,Expert,Medium,Medium,FALSE,FALSE,8.3,TRUE,Checked Official Source,10.5,76.21,TRUE,Moderate Trust
GPT-4,scientific_facts,73.53,289,TRUE,TRUE,FALSE,Very Specific,18-24,Bachelors,Low,Expert,Critical,Medium,TRUE,TRUE,8.3,TRUE,Cross-referenced Multiple AIs,23.7,69.3,TRUE,Moderate Trust
GPT-4,medical_advice,72.54,725,TRUE,TRUE,FALSE,Vague,35-44,Professional,High,Advanced,Low,High,TRUE,FALSE,10,FALSE,,0,69.25,FALSE,Blind Trust
Gemini,scientific_facts,73.87,477,FALSE,TRUE,TRUE,Specific,45-54,High School,Expert,Expert,Critical,Medium,FALSE,TRUE,5.3,TRUE,Asked Colleague,17.4,63.03,TRUE,Skeptical
GPT-4,medical_advice,68.25,671,TRUE,FALSE,TRUE,Specific,65+,Bachelors,Expert,First Time,High,None,TRUE,TRUE,8.8,TRUE,Google Search,19.7,58.49,FALSE,Moderate Trust
Llama,math_calculation,93.55,327,FALSE,TRUE,FALSE,Moderate,25-34,High School,Expert,Advanced,High,High,TRUE,TRUE,10,FALSE,,0,81.82,TRUE,Blind Trust
Gemini,legal_advice,68.31,152,TRUE,FALSE,TRUE,Moderate,55-64,Masters,Medium,Advanced,Critical,Medium,FALSE,TRUE,6.2,TRUE,Asked Expert,28.4,83.15,FALSE,Skeptical
GPT-4,creative_writing,64.17,54,TRUE,TRUE,TRUE,Very Specific,65+,Bachelors,Low,Beginner,High,None,TRUE,TRUE,9.7,FALSE,,0,73.5,FALSE,Blind Trust
Mistral,legal_advice,63.95,307,TRUE,TRUE,FALSE,Specific,25-34,PhD,High,Expert,Critical,Low,TRUE,TRUE,7.4,TRUE,Asked Expert,25.5,66.03,TRUE,Skeptical
Gemini,technical_coding,94.89,256,FALSE,FALSE,FALSE,Specific,35-44,PhD,Low,Advanced,Low,High,,FALSE,10,FALSE,,0,100,TRUE,Blind Trust
GPT-4,medical_advice,64.15,107,TRUE,TRUE,TRUE,Vague,65+,PhD,Low,Beginner,Low,None,FALSE,FALSE,7.3,TRUE,Academic Paper,35.6,59.25,TRUE,Skeptical
Mistral,financial_advice,55.79,292,FALSE,TRUE,FALSE,Vague,35-44,PhD,Expert,Beginner,Critical,None,,FALSE,4.7,TRUE,Cross-referenced Multiple AIs,18.1,62.62,TRUE,Highly Skeptical
Llama,general_knowledge,77.74,552,TRUE,TRUE,TRUE,Very Specific,45-54,Bachelors,Expert,Advanced,Critical,None,TRUE,TRUE,8.2,TRUE,Personal Testing,43.2,73.28,TRUE,Moderate Trust
Llama,legal_advice,55.47,687,TRUE,FALSE,TRUE,Vague,55-64,Professional,High,Advanced,Low,None,TRUE,TRUE,9.1,FALSE,,0,64.33,FALSE,Blind Trust
Mistral,recipe_cooking,86.47,583,TRUE,FALSE,TRUE,Very Specific,45-54,Professional,High,Beginner,Critical,Low,TRUE,TRUE,10,TRUE,Asked Expert,8.9,79.61,FALSE,Moderate Trust
Claude,opinion_based,44.53,344,TRUE,FALSE,TRUE,Moderate,18-24,Bachelors,High,Expert,Medium,High,,FALSE,5.8,TRUE,Cross-referenced Multiple AIs,22.1,24.15,FALSE,Skeptical
Mistral,medical_advice,61.28,228,TRUE,TRUE,TRUE,Vague,45-54,Bachelors,Medium,Expert,High,None,,TRUE,6.4,TRUE,Academic Paper,5.6,65.08,TRUE,Skeptical
Llama,technical_coding,93.52,374,TRUE,TRUE,TRUE,Moderate,18-24,High School,Expert,First Time,High,High,,TRUE,10,FALSE,,0,91.74,TRUE,Blind Trust
Claude,factual_historical,87.07,89,FALSE,TRUE,TRUE,Moderate,18-24,Bachelors,Expert,Expert,Critical,Medium,TRUE,FALSE,9.2,FALSE,,0,86.98,TRUE,Blind Trust
Gemini,scientific_facts,75.86,93,FALSE,FALSE,TRUE,Specific,35-44,PhD,Expert,First Time,Medium,Low,TRUE,FALSE,10,TRUE,Asked Colleague,17.6,70.62,FALSE,Moderate Trust
Claude,math_calculation,92.71,471,TRUE,TRUE,FALSE,Specific,65+,PhD,Expert,Expert,Medium,High,TRUE,FALSE,10,TRUE,Consulted Documentation,40.3,79.2,FALSE,Moderate Trust
GPT-4,opinion_based,52.74,515,TRUE,FALSE,FALSE,Moderate,35-44,Masters,Medium,Beginner,High,None,FALSE,FALSE,5.5,TRUE,Asked Expert,29.3,46.58,TRUE,Skeptical
Gemini,legal_advice,50.69,298,FALSE,TRUE,FALSE,Vague,55-64,Bachelors,High,First Time,High,High,,FALSE,5.1,TRUE,Asked Expert,40.6,47.91,TRUE,Skeptical
Mistral,scientific_facts,85.03,132,TRUE,FALSE,FALSE,Vague,55-64,High School,Medium,Advanced,Medium,Medium,FALSE,FALSE,9.3,FALSE,,0,87.57,TRUE,Blind Trust
ChatGPT-3.5,factual_historical,94.61,373,FALSE,TRUE,FALSE,Very Specific,25-34,Bachelors,Medium,First Time,Critical,Medium,,FALSE,9.1,FALSE,,0,80.91,TRUE,Blind Trust
Gemini,financial_advice,42.25,516,TRUE,TRUE,TRUE,Moderate,35-44,PhD,Expert,First Time,High,None,TRUE,TRUE,6,TRUE,Consulted Documentation,2.7,35.84,FALSE,Skeptical
Gemini,current_events,78.52,773,FALSE,FALSE,FALSE,Moderate,25-34,Bachelors,Low,Intermediate,Low,Medium,FALSE,FALSE,8,FALSE,,0,79.36,TRUE,Blind Trust
Mistral,recipe_cooking,79.39,404,TRUE,TRUE,TRUE,Moderate,25-34,PhD,Low,Beginner,Critical,High,,TRUE,8.7,TRUE,Cross-referenced Multiple AIs,22.8,83.62,TRUE,Moderate Trust
ChatGPT-3.5,general_knowledge,79.83,372,FALSE,TRUE,TRUE,Specific,65+,Masters,High,Intermediate,Medium,Low,TRUE,FALSE,9,TRUE,Cross-referenced Multiple AIs,44.1,76.65,TRUE,Moderate Trust
Llama,financial_advice,61.02,62,TRUE,FALSE,TRUE,Vague,18-24,PhD,Expert,Intermediate,Low,High,TRUE,FALSE,9,TRUE,Consulted Documentation,13.7,68.87,FALSE,Moderate Trust
Claude,opinion_based,57.46,623,FALSE,FALSE,TRUE,Specific,35-44,Bachelors,High,Expert,High,Medium,,TRUE,5.2,TRUE,Personal Testing,7.3,56.22,TRUE,Skeptical
Llama,financial_advice,63.19,462,TRUE,FALSE,FALSE,Specific,65+,Masters,Medium,Expert,High,None,FALSE,FALSE,6.2,TRUE,Asked Colleague,8.5,53.13,TRUE,Skeptical
Claude,recipe_cooking,83.79,478,TRUE,TRUE,TRUE,Specific,35-44,PhD,Expert,Intermediate,High,Medium,,FALSE,8.6,FALSE,,0,92.94,TRUE,Blind Trust
Claude,general_knowledge,70.61,215,TRUE,FALSE,TRUE,Moderate,35-44,PhD,Low,Intermediate,Low,Medium,FALSE,TRUE,7.8,TRUE,Cross-referenced Multiple AIs,37.6,65.82,TRUE,Skeptical
Llama,opinion_based,59.39,599,TRUE,TRUE,TRUE,Specific,25-34,Masters,Low,Advanced,Medium,None,TRUE,TRUE,8.1,FALSE,,0,56.53,FALSE,Blind Trust
GPT-4,current_events,67.7,254,FALSE,FALSE,FALSE,Vague,35-44,Bachelors,Low,Advanced,Low,None,TRUE,TRUE,9.5,FALSE,,0,67.69,FALSE,Blind Trust
Claude,financial_advice,49.49,458,TRUE,FALSE,FALSE,Very Specific,45-54,Masters,High,Intermediate,Low,High,FALSE,FALSE,6.3,TRUE,Google Search,2.1,59.44,TRUE,Skeptical
Mistral,factual_historical,74.19,756,TRUE,TRUE,TRUE,Moderate,18-24,Masters,Medium,First Time,Low,High,TRUE,FALSE,10,FALSE,,0,74.65,FALSE,Blind Trust
Gemini,current_events,74.54,664,TRUE,TRUE,TRUE,Vague,55-64,Professional,Expert,Expert,Low,Low,FALSE,FALSE,7.1,TRUE,Academic Paper,20.4,50.2,FALSE,Skeptical
Mistral,factual_historical,72.97,228,FALSE,FALSE,TRUE,Very Specific,65+,Bachelors,High,Expert,Low,Medium,TRUE,TRUE,8.9,FALSE,,0,84.67,TRUE,Blind Trust
Llama,factual_historical,94.41,359,FALSE,TRUE,TRUE,Moderate,18-24,Professional,Expert,Expert,Critical,None,TRUE,TRUE,8.9,TRUE,Checked Official Source,27.7,93.62,TRUE,Moderate Trust
Mistral,creative_writing,64.17,580,TRUE,TRUE,TRUE,Moderate,55-64,High School,High,First Time,High,High,FALSE,FALSE,6.5,FALSE,,0,68.52,TRUE,Moderate Trust
GPT-4,legal_advice,64.11,617,FALSE,FALSE,FALSE,Moderate,35-44,Masters,Low,Intermediate,High,High,TRUE,TRUE,8.1,TRUE,Personal Testing,27,75.42,TRUE,Moderate Trust
ChatGPT-3.5,technical_coding,79.69,558,TRUE,FALSE,TRUE,Vague,25-34,Bachelors,High,Expert,Low,None,,FALSE,9.9,TRUE,Cross-referenced Multiple AIs,43.1,82.2,TRUE,Moderate Trust
Gemini,legal_advice,50.91,218,TRUE,TRUE,TRUE,Very Specific,65+,PhD,Expert,Advanced,High,Low,,TRUE,5.3,TRUE,Asked Colleague,29.7,43.49,TRUE,Skeptical
Claude,opinion_based,54.67,283,TRUE,FALSE,TRUE,Very Specific,18-24,Bachelors,Medium,First Time,Low,Low,FALSE,FALSE,7.4,FALSE,,0,46.76,FALSE,Moderate Trust
Gemini,opinion_based,57.6,89,TRUE,TRUE,FALSE,Specific,35-44,High School,Expert,First Time,High,High,FALSE,FALSE,5.1,FALSE,,0,46.63,TRUE,Skeptical
GPT-4,general_knowledge,81.05,123,TRUE,TRUE,TRUE,Very Specific,25-34,Bachelors,Low,First Time,Low,Low,FALSE,TRUE,9.3,TRUE,Checked Official Source,41,92.23,TRUE,Moderate Trust
Mistral,current_events,60.3,281,TRUE,FALSE,FALSE,Moderate,35-44,PhD,Medium,Beginner,High,Medium,,TRUE,8.1,TRUE,Consulted Documentation,8.8,56.11,FALSE,Moderate Trust
ChatGPT-3.5,scientific_facts,74.98,253,TRUE,FALSE,FALSE,Moderate,55-64,Professional,High,Advanced,Critical,Medium,TRUE,FALSE,9.2,TRUE,Checked Official Source,38.5,76.61,TRUE,Moderate Trust
ChatGPT-3.5,scientific_facts,85.68,435,TRUE,FALSE,TRUE,Very Specific,55-64,Masters,High,First Time,High,Low,TRUE,FALSE,10,TRUE,Google Search,11.5,91.07,TRUE,Moderate Trust
Llama,legal_advice,64.8,340,TRUE,TRUE,FALSE,Moderate,65+,Professional,High,Advanced,Critical,None,FALSE,TRUE,5.3,TRUE,Checked Official Source,10.3,52.55,TRUE,Skeptical
GPT-4,math_calculation,86.3,305,FALSE,TRUE,FALSE,Moderate,35-44,PhD,Expert,Beginner,Low,High,TRUE,FALSE,10,FALSE,,0,99.83,TRUE,Blind Trust
ChatGPT-3.5,factual_historical,85.04,797,FALSE,TRUE,TRUE,Very Specific,18-24,High School,Expert,Beginner,Low,Low,FALSE,TRUE,8.4,FALSE,,0,88.94,TRUE,Blind Trust
Gemini,medical_advice,65.44,703,TRUE,FALSE,FALSE,Moderate,45-54,Bachelors,Medium,Expert,Low,Low,TRUE,FALSE,9.8,FALSE,,0,56.25,FALSE,Blind Trust
Mistral,factual_historical,76.45,628,TRUE,TRUE,FALSE,Very Specific,45-54,Masters,Medium,First Time,Low,Medium,,TRUE,10,FALSE,,0,68.21,FALSE,Blind Trust
Llama,general_knowledge,83.87,310,FALSE,TRUE,FALSE,Specific,55-64,High School,High,Advanced,Critical,None,,TRUE,7.1,TRUE,Google Search,29.4,95.4,FALSE,Skeptical
GPT-4,technical_coding,79.03,625,FALSE,TRUE,TRUE,Specific,25-34,Masters,High,Advanced,Critical,High,TRUE,FALSE,8,FALSE,,0,74.68,TRUE,Blind Trust
GPT-4,financial_advice,59.18,596,TRUE,FALSE,FALSE,Moderate,18-24,High School,High,First Time,Low,Low,TRUE,TRUE,9.6,FALSE,,0,44.83,FALSE,Blind Trust
Claude,factual_historical,76.02,152,FALSE,TRUE,FALSE,Vague,65+,Masters,Low,Expert,Low,High,,FALSE,7.8,TRUE,Cross-referenced Multiple AIs,30.4,76.02,TRUE,Skeptical
Gemini,technical_coding,76.6,263,FALSE,TRUE,TRUE,Vague,35-44,Bachelors,Medium,Intermediate,Low,Medium,TRUE,FALSE,9.6,TRUE,Cross-referenced Multiple AIs,4.2,79.06,TRUE,Moderate Trust
